reasons_group_1,reasons_group_2,reasons_group_3,reasons_group_4,Day,Month,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,0,1,7,7,289,36,33,239.554,30,0,2,1,4
0,0,0,0,14,7,118,13,50,239.554,31,0,1,0,0
0,0,0,1,15,7,179,51,38,239.554,31,0,0,0,2
1,0,0,0,16,7,279,5,39,239.554,24,0,2,0,4
0,0,0,1,23,7,289,36,33,239.554,30,0,2,1,2
0,0,0,1,10,7,179,51,38,239.554,31,0,0,0,2
0,0,0,1,17,7,361,52,28,239.554,27,0,1,4,8
0,0,0,1,24,7,260,50,36,239.554,23,0,4,0,4
0,0,1,0,6,7,155,12,34,239.554,25,0,2,0,40
0,0,0,1,13,7,235,11,37,239.554,29,1,1,1,8
1,0,0,0,20,7,260,50,36,239.554,23,0,4,0,8
1,0,0,0,14,7,260,50,36,239.554,23,0,4,0,8
1,0,0,0,15,7,260,50,36,239.554,23,0,4,0,8
1,0,0,0,15,7,179,51,38,239.554,31,0,0,0,1
0,0,0,1,15,7,179,51,38,239.554,31,0,0,0,4
1,0,0,0,17,7,246,25,41,239.554,23,0,0,0,8
0,0,0,1,17,7,179,51,38,239.554,31,0,0,0,2
0,0,1,0,27,7,179,51,38,239.554,31,0,0,0,8
1,0,0,0,30,7,189,29,33,239.554,25,0,2,2,8
0,0,0,1,5,8,248,25,47,205.917,32,0,2,1,2
1,0,0,0,12,8,330,16,28,205.917,25,1,0,0,8
1,0,0,0,3,8,179,51,38,205.917,31,0,0,0,1
1,0,0,0,10,8,361,52,28,205.917,27,0,1,4,40
0,0,0,1,14,8,260,50,36,205.917,23,0,4,0,4
0,0,1,0,17,8,289,36,33,205.917,30,0,2,1,8
0,0,0,1,24,8,361,52,28,205.917,27,0,1,4,7
0,0,0,1,4,8,289,36,33,205.917,30,0,2,1,1
0,0,0,1,12,8,157,27,29,205.917,22,0,0,0,4
0,0,1,0,19,8,289,36,33,205.917,30,0,2,1,8
0,0,0,1,28,8,179,51,38,205.917,31,0,0,0,2
0,0,1,0,17,8,179,51,38,205.917,31,0,0,0,8
0,0,1,0,27,8,235,29,48,205.917,33,0,1,5,8
0,0,0,1,27,8,235,11,37,205.917,29,1,1,1,4
0,0,1,0,17,8,235,29,48,205.917,33,0,1,5,8
0,0,0,1,17,8,179,51,38,205.917,31,0,0,0,2
0,0,0,1,17,8,361,52,28,205.917,27,0,1,4,1
0,0,0,1,4,8,289,36,33,205.917,30,0,2,1,8
1,0,0,0,20,8,291,50,32,205.917,23,0,0,0,4
0,0,0,1,21,8,235,29,48,205.917,33,0,1,5,8
0,0,0,1,28,8,260,50,36,205.917,23,0,4,0,4
0,0,0,1,1,9,184,42,27,241.476,21,0,0,0,2
0,0,0,1,7,9,118,10,37,241.476,28,0,0,0,4
0,0,0,1,1,9,179,51,38,241.476,31,0,0,0,4
0,0,1,0,8,9,235,20,43,241.476,38,0,1,0,8
0,0,0,1,9,9,155,12,34,241.476,25,0,2,0,2
0,0,0,1,13,9,118,10,37,241.476,28,0,0,0,3
0,0,0,1,14,9,179,51,38,241.476,31,0,0,0,3
